channel,begin_ohm,end_ohm,delta_ohm,status
P5,55574.37058886916,55539.16545898653,-35.20512988263363,BAD
T9,35505.81997189289,35386.94938613863,-118.87058575425908,BAD
O1,32882.25164967072,32629.38757687835,-252.86407279236664,BAD
C2,7892.217520400152,25885.599741405025,17993.382221004875,BAD
Poz,8668.11890208582,21358.96507221034,12690.84617012452,BAD
C5,10350.538113886334,9971.552333082427,-378.9857808039069,OK
F2,9652.246558465196,9833.3507234487,181.10416498350423,OK
Cp3,8738.25798614572,9077.36786405555,339.1098779098302,OK
F8,9210.974668457937,8974.604258383426,-236.3704100745108,OK
Pz,8905.64928021178,8811.962779364181,-93.68650084759793,OK
Cz,8224.605125462997,8429.027431538036,204.42230607503916,OK
Fc3,7746.863843771174,8275.600901621385,528.7370578502105,OK
Po7,8707.275667988015,8104.201303483168,-603.0743645048469,OK
P6,8441.723959175462,8016.253107444179,-425.4708517312838,OK
P4,7186.290571928658,7684.618064823501,498.3274928948431,OK
Fp2,7678.160897054254,7679.1339746867825,0.973077632528657,OK
T8,7159.454435637655,7504.585747646846,345.1313120091918,OK
T10,7190.350575942521,7487.771409422194,297.4208334796731,OK
Cp5,6926.870443841816,7470.701554843195,543.8311110013783,OK
F7,7283.272465008269,7448.158360801919,164.88589579364998,OK
T7,7276.160358123701,7342.236321452503,66.07596332880166,OK
Af7,7391.877716560562,7340.428170937412,-51.44954562314979,OK
Fc5,7003.075383393706,7128.646076195076,125.57069280136966,OK
O2,7318.171028064577,7075.473074880626,-242.69795318395063,OK
F6,6918.695737636199,7056.724327147792,138.02858951159305,OK
P8,6528.044686623127,6938.98475926269,410.94007263956337,OK
Fc6,7150.359006493596,6869.324155056969,-281.0348514366269,OK
Af3,6532.672638425114,6845.059927490302,312.38728906518736,OK
C4,7263.535622494746,6670.352685375592,-593.1829371191543,OK
Af8,6878.74763649732,6607.677622870968,-271.0700136263522,OK
Po3,6833.706699626461,6576.638961833495,-257.067737792966,OK
Ft8,6720.745126039601,6508.950782908066,-211.79434313153524,OK
Fp1,6412.272172313296,6487.4608970009185,75.1887246876222,OK
Cpz,5855.960597399455,6279.39613961397,423.4355422145154,OK
Af4,5653.267760383409,6207.928830402279,554.6610700188703,OK
Oz,5841.7310586539625,5868.559895214165,26.828836560202944,OK
Fc2,5863.323037070693,5846.762012816045,-16.561024254648146,OK
C1,5448.812750450149,5740.672213293404,291.85946284325473,OK
C3,5769.483703621676,5691.207828179068,-78.27587544260768,OK
Ft7,5540.998918141745,5624.420788858744,83.42187071699936,OK
F3,5805.616809915174,5503.098320980211,-302.518488934963,OK
P3,5396.324014731947,5423.852943895778,27.52892916383098,OK
Fcz,4773.520403106815,5363.835131139828,590.3147280330131,OK
Fz,4977.906901436002,5332.659726549967,354.7528251139647,OK
Po8,5310.844372485868,4944.248535884382,-366.59583660148564,OK
F4,4981.163311670259,4924.286496915923,-56.87681475433601,OK
P2,4001.7777447369417,4470.845886273332,469.0681415363906,OK
Cp1,3639.463631787295,4403.58853230272,764.1249005154245,OK
Fc4,4520.883612508844,4240.89110797754,-279.9925045313039,OK
Cp4,3776.15565053756,4226.001009721856,449.8453591842954,OK
F1,4553.7023048584015,4140.259188593545,-413.44311626485614,OK
C6,4673.8298882294885,4123.993147037497,-549.8367411919917,OK
Iz,4032.0136803746495,3807.593404133545,-224.4202762411046,OK
P7,9148.456720053997,3767.081669396035,-5381.375050657962,OK
Fpz,3831.383796390742,3544.428133490583,-286.95566290015904,OK
F5,3174.6605862365163,3349.255418344876,174.5948321083597,OK
Tp8,3132.138304678794,3031.1665353012336,-100.97176937756058,OK
Cp6,2395.6624055206694,2615.6003980152855,219.93799249461608,OK
Cp2,2246.9431504978893,1888.4061832287944,-358.53696726909493,OK
Afz,800.0,843.5739303995498,43.573930399549795,OK
Fc1,6314.655361594456,200.0,-6114.655361594456,OK
P1,12001.041365856056,11931.999433842031,-69.0419320140245,WARN
Po4,10596.30647914038,10635.177690075336,38.87121093495625,WARN
Tp7,10397.058554353844,10035.08878508079,-361.9697692730533,WARN
